LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NOR,ULC,HRWKD,PC_CHGPP,A,1971,9.107758,
NOR,ULC,HRWKD,PC_CHGPP,A,1972,5.673221,
NOR,ULC,HRWKD,PC_CHGPP,A,1973,7.57316,
NOR,ULC,HRWKD,PC_CHGPP,A,1974,10.182114,
NOR,ULC,HRWKD,PC_CHGPP,A,1975,12.552094,
NOR,ULC,HRWKD,PC_CHGPP,A,1976,9.233826,
NOR,ULC,HRWKD,PC_CHGPP,A,1977,8.522148,
NOR,ULC,HRWKD,PC_CHGPP,A,1978,5.680767,
NOR,ULC,HRWKD,PC_CHGPP,A,1979,-0.207008,
NOR,ULC,HRWKD,PC_CHGPP,A,1980,7.087097,
NOR,ULC,HRWKD,PC_CHGPP,A,1981,11.121458,
NOR,ULC,HRWKD,PC_CHGPP,A,1982,10.976706,
NOR,ULC,HRWKD,PC_CHGPP,A,1983,3.932331,
NOR,ULC,HRWKD,PC_CHGPP,A,1984,2.787512,
NOR,ULC,HRWKD,PC_CHGPP,A,1985,4.577378,
NOR,ULC,HRWKD,PC_CHGPP,A,1986,8.043523,
NOR,ULC,HRWKD,PC_CHGPP,A,1987,10.013023,
NOR,ULC,HRWKD,PC_CHGPP,A,1988,6.498902,
NOR,ULC,HRWKD,PC_CHGPP,A,1989,0.178726,
NOR,ULC,HRWKD,PC_CHGPP,A,1990,1.348015,
NOR,ULC,HRWKD,PC_CHGPP,A,1991,1.010282,
NOR,ULC,HRWKD,PC_CHGPP,A,1992,0.00876,
NOR,ULC,HRWKD,PC_CHGPP,A,1993,-0.755622,
NOR,ULC,HRWKD,PC_CHGPP,A,1994,-0.513213,
NOR,ULC,HRWKD,PC_CHGPP,A,1995,1.401831,
NOR,ULC,HRWKD,PC_CHGPP,A,1996,1.36157,
NOR,ULC,HRWKD,PC_CHGPP,A,1997,2.535236,
NOR,ULC,HRWKD,PC_CHGPP,A,1998,6.966166,
NOR,ULC,HRWKD,PC_CHGPP,A,1999,4.249327,
NOR,ULC,HRWKD,PC_CHGPP,A,2000,2.113348,
NOR,ULC,HRWKD,PC_CHGPP,A,2001,3.864694,
NOR,ULC,HRWKD,PC_CHGPP,A,2002,3.235778,
NOR,ULC,HRWKD,PC_CHGPP,A,2003,1.953477,
NOR,ULC,HRWKD,PC_CHGPP,A,2004,0.727426,
NOR,ULC,HRWKD,PC_CHGPP,A,2005,3.168002,
NOR,ULC,HRWKD,PC_CHGPP,A,2006,6.500293,
NOR,ULC,HRWKD,PC_CHGPP,A,2007,7.421477,
NOR,ULC,HRWKD,PC_CHGPP,A,2008,9.134426,
NOR,ULC,HRWKD,PC_CHGPP,A,2009,4.578712,
NOR,ULC,HRWKD,PC_CHGPP,A,2010,2.055603,
NOR,ULC,HRWKD,PC_CHGPP,A,2011,5.078298,
NOR,ULC,HRWKD,PC_CHGPP,A,2012,3.913779,
NOR,ULC,HRWKD,PC_CHGPP,A,2013,4.401819,
