"","incomes_hh","expenditures_hh","incomes_fc","expenditures_fc","incomes_nfc","expenditures_nfc","incomes_gg","expenditures_gg","incomes_row","expenditures_row"
"GDP",5620,0,4385,0,19107,0,6185,0,0,0
"Wage Bill",16441,0,0,1749,0,9236,0,5455,0,0
"Net Taxes",0,3690,0,396,0,974,10264,0,0,1309
"Property Income:Interest",211,394,10961,7575,210,840,252,848,7937,9914
"Incomes: Pensions & other",1038,0,0,1558,0,0,0,0,0,-519
"Dividends",330,0,1309,4792,1669,13718,146,0,7528,0
"Financial Consumption",1221,1325,1793,1802,135,194,27,445,1356,767
"Consumption",0,20906,0,0,29164,0,0,8258,0,0
"Capital Transfers",13,0,-629,0,-80,0,0,-720,-24,0
"Gross capital formation",0,1290,0,169,4942,0,0,1881,0,0
"Net Exports",0,0,0,0,36374,30929,0,0,30929,36374
"net social contributions",2465,0,639,0,0,0,0,3119,16,0
"Net Lending/Borrowing in non-financial account",0,-267,0,418,0,690,0,-2412,0,-105
